tool,language,audio_file,original_text,transcribed_text,wer,cer,word_accuracy,char_accuracy,whisper_model,timestamp
sarvam,bengali,bengali_67.wav,কিডস রুম AC 1 চালু করে হিউমিকন মোড চালু করুন।,Our office AC1A 1000 Min. Switch of Timerset Kuruun.,1.0,0.9778,0.0,2.22,base,2026-03-05T10:57:22.847486+00:00
sarvam,bengali,bengali_68.wav,কিডস রুম AC 1 এ ফ্যান স্পিড অটো সেট করুন।,Offices 1. A silent mode. Chalukun.,1.0,0.878,0.0,12.2,base,2026-03-05T10:57:24.201211+00:00
sarvam,bengali,bengali_69.wav,অফিস AC 1 চালু করে ভ্যারিয়েবল ক্যাপাসিটি C5 সেট করুন।,Leaving Room에서 Agora  Kaews isaenak Nu Darren,1.0,0.9074,0.0,9.26,base,2026-03-05T10:57:31.781544+00:00
sarvam,bengali,bengali_7.wav,আমার অফিস AC 1 এ 1000 মিনিটের সুইচ অফ টাইমার সেট করুন।,Shown Gokkhoyar purifier 1S700 & 20 Min suits of time are set korun.,1.0,1.0,0.0,0.0,base,2026-03-05T10:57:35.120659+00:00
sarvam,bengali,bengali_70.wav,অফিস AC 1 এ সাইলেন্ট মোড চালু করুন।,دائنین رومے اسی چالوگرون,1.0,0.9143,0.0,8.57,base,2026-03-05T10:57:36.535978+00:00
sarvam,bengali,bengali_71.wav,লিভিং রুমের সব AC চালু করুন।,دائنگ رومی ایسی چالکڑوں,1.0,0.8929,0.0,10.71,base,2026-03-05T10:57:37.943406+00:00
sarvam,bengali,bengali_72.wav,ডাইনিং রুমে AC চালু করুন।,Dining Room S1-Hile Lock Mode Chalukurun,1.0,1.0,0.0,0.0,base,2026-03-05T10:57:39.487184+00:00
sarvam,bengali,bengali_73.wav,ডাইনিং রুমে AC চালু করুন।,Dining Room AC1A Moonlight Dream on Set Corrid.,1.0,1.0,0.0,0.0,base,2026-03-05T10:57:41.034164+00:00
sarvam,bengali,bengali_74.wav,ডাইনিং রুম AC 1 এ চাইল্ড লক মোড চালু করুন।,kiywet fearshto진 180°C,1.0,0.9286,0.0,7.14,base,2026-03-05T10:57:49.020216+00:00
sarvam,bengali,bengali_75.wav,ডাইনিং রুম AC 1 এ মুনলাইট ড্রিম অন সেট করুন।,کچھے نیسک توے طاربہ مٹ چالکہ کرن,1.0,0.8636,0.0,13.64,base,2026-03-05T10:57:50.621076+00:00
sarvam,bengali,bengali_76.wav,কিচেন AC 2 চালু করে 18 ডিগ্রি সেট করুন।,kichin asi 2e ikomot chanukorun,1.0,0.8974,0.0,10.26,base,2026-03-05T10:57:51.969449+00:00
sarvam,bengali,bengali_77.wav,কিচেন AC 2 এ টার্বো মোড চালু করুন।,Amar kise nesk tuer abostakhi,1.0,0.9118,0.0,8.82,base,2026-03-05T10:57:53.381308+00:00
sarvam,bengali,bengali_78.wav,কিচেন AC 2 এ ইকো মোড চালু করুন।,کچھے نیسی تویشائلین مورڈشیٹ کروں,1.0,0.9677,0.0,3.23,base,2026-03-05T10:57:54.910500+00:00
sarvam,bengali,bengali_79.wav,আমার কিচেন AC 2 এর অবস্থা কী?,Office AC3 Charlu Kore Medium Light Intensity Set Kore & Abhung Moonlight Down to DASK Set Kore &,1.0,1.0,0.0,0.0,base,2026-03-05T10:57:56.699842+00:00
sarvam,bengali,bengali_8.wav,কিচেন AC 2 এ সাইলেন্ট মোড সেট করুন।,Dining Room ay our Purifier Chanukorun,1.0,0.9714,0.0,2.86,base,2026-03-05T10:57:57.922169+00:00
sarvam,bengali,bengali_80.wav,অফিস AC 3 চালু করে মিডিয়াম লাইট ইন্টেনসিটি সেট করুন এবং মুনলাইট ডাউন টু ডাস্ক সেট করুন।,Office AC 312 Miniatures Switch of Timers Shed Coroon Abhung Display Mode Bandhu Coroon,0.9412,0.9205,5.88,7.95,base,2026-03-05T10:57:59.483142+00:00
sarvam,bengali,bengali_81.wav,অফিস AC 3 এ 12 মিনিটের সুইচ অফ টাইমার সেট করুন এবং ডিসপ্লে মোড বন্ধ করুন।,جوگا رومی فین چالو کرون,1.0,0.9452,0.0,5.48,base,2026-03-05T10:58:00.959860+00:00
sarvam,bengali,bengali_82.wav,যোগা রুমে ফ্যান চালু করুন।,Kissen AC18ressedom可愛,1.0,0.9615,0.0,3.85,base,2026-03-05T10:58:08.920598+00:00
sarvam,bengali,bengali_83.wav,কিচেন AC 1 এ টার্বো মোড চালু করুন।,Thichyen disyiwanyy哲vyuore fanmod位 sittушurun,1.0,1.0,0.0,0.0,base,2026-03-05T10:58:22.044365+00:00
sarvam,bengali,bengali_84.wav,কিচেন AC 1 চালু করে ফ্যান মোডে সেট করুন।,Kichan AC1S Leap Mode Chalukorun,1.0,0.875,0.0,12.5,base,2026-03-05T10:58:24.860233+00:00
sarvam,bengali,bengali_85.wav,কিচেন AC 1 এ স্লিপ মোড চালু করুন।,"کیسனC1,reklnde lo 둘",1.0,0.8788,0.0,12.12,base,2026-03-05T10:58:32.829306+00:00
sarvam,bengali,bengali_86.wav,কিচেন AC 1 এ চাইল্ড লক মোড চালু করুন।,Kichan AC1-800mm Suits of Timer Shared.,1.0,0.9189,0.0,8.11,base,2026-03-05T10:58:34.320625+00:00
sarvam,bengali,bengali_87.wav,কিচেন AC 1 এ 200 মিনিটের সুইচ অফ টাইমার সেট করুন।,جوگا روم AC2 چالو کڑے بھتکل سوین اب 3A سیٹ کرون,1.0,0.8776,0.0,12.24,base,2026-03-05T10:58:37.652748+00:00
sarvam,bengali,bengali_88.wav,যোগা রুম AC 2 চালু করে ভার্টিক্যাল সুইং আপ 3 এ সেট করুন।,جگروم اسی تو ایهیومی کن موت سانو کرون,1.0,0.875,0.0,12.5,base,2026-03-05T10:58:44.806845+00:00
sarvam,bengali,bengali_89.wav,যোগা রুম AC 2 এ হিউমিকন মোড চালু করুন।,Amar baakat t overcoming normalization,1.0,0.8947,0.0,10.53,base,2026-03-05T10:58:52.861108+00:00
sarvam,bengali,bengali_9.wav,আমার কাছে কোন কোন ডিভাইস আছে?,Amar Shwaina ko kuiyaar pivifayaar 1-8 abos taki,1.0,1.0,0.0,0.0,base,2026-03-05T10:58:54.631299+00:00
sarvam,bengali,bengali_90.wav,বেডরুম AC 3 চালু করে ভ্যারিয়েবল ক্যাপাসিটি C3 এ সেট করুন।,بدروں ایسی 3 چالوکہ رہے بھاریابل کیپاستیسی 3یشیٹ کرون,0.9091,0.8966,9.09,10.34,base,2026-03-05T10:58:56.429816+00:00
sarvam,bengali,bengali_91.wav,বেডরুম AC 3 এ টার্বো মোড চালু করুন।,BEDRUM AC3 et Arbomot Chalukorun,1.0,0.8286,0.0,17.14,base,2026-03-05T10:58:57.864104+00:00
sarvam,bengali,bengali_92.wav,বেডরুম AC 3 এ অটো মোড চালু করুন।,BEDROOM AC3A Auto Mode Chalukruhn,1.0,0.875,0.0,12.5,base,2026-03-05T10:58:59.185242+00:00
sarvam,bengali,bengali_93.wav,বেডরুম AC 3 এ তাপমাত্রা 23 ডিগ্রি সেট করুন।,BEDROOM AC3A TAPMA-23 DIGVY SHETCO RUN,1.0,0.8372,0.0,16.28,base,2026-03-05T10:59:00.877911+00:00
sarvam,bengali,bengali_94.wav,ডাইনিং রুম AC 1 চালু করে হিউমিকন মোড চালু করুন।,"Dining Room AC-1, Chalu Kore, Humicon Mode Chalu Keroon",1.0,0.9362,0.0,6.38,base,2026-03-05T10:59:02.341030+00:00
sarvam,bengali,bengali_95.wav,ডাইনিং রুম AC 1 এ ভ্যারিয়েবল ক্যাপাসিটি C5 এ সেট করুন।,Dining Room AC1 A Variable Capacity C5 Sett Korun,0.9091,0.7818,9.09,21.82,base,2026-03-05T10:59:03.756935+00:00
sarvam,bengali,bengali_96.wav,ডাইনিং রুম AC 1 এ টার্বো মোড চালু করে লাইট ইনটেনসিটি হাই এ সেট করুন।,دائنیگ رومسیوانے طربوں مورد چانوکڑے لائٹھ انٹنسٹی ہائے سیٹ کرون,1.0,0.8971,0.0,10.29,base,2026-03-05T10:59:06.096515+00:00
sarvam,bengali,bengali_97.wav,কিচেন AC 2 চালু করুন।,"kiların, ac2 ça lokur01",1.0,0.9048,0.0,9.52,base,2026-03-05T10:59:13.934291+00:00
sarvam,bengali,bengali_98.wav,কিচেন AC 2 এ মুনলাইট আনওয়াইন্ড সেট করে ফ্যান মোড চালু করুন।,Kitsun AC2 Immunlight Anuang Set Kore Fan Mode Chalukorun,1.0,0.8833,0.0,11.67,base,2026-03-05T10:59:15.656230+00:00
sarvam,bengali,bengali_99.wav,স্টাডিতে এয়ার পিউরিফায়ার চালু করুন।,Stanithe AR purifier Chalukorun,1.0,0.9189,0.0,8.11,base,2026-03-05T10:59:17.209740+00:00
elevenlabs,bengali,bengali_0.mp3,শয়নকক্ষ এয়ার পিউরিফায়ার 1 চালু করুন।,Shoin GoCo Air Purifier Act Chalukodun,1.0,0.9487,0.0,5.13,base,2026-03-05T10:59:18.733883+00:00
elevenlabs,bengali,bengali_1.mp3,শয়নকক্ষ এয়ার পিউরিফায়ার 1 এ বাজার নিয়ন্ত্রণ চালু করুন।,"Shoinko ko air purifier onee, Baja neon tron chalukodun.",1.0,0.9483,0.0,5.17,base,2026-03-05T10:59:20.175443+00:00
elevenlabs,bengali,bengali_10.mp3,শয়নকক্ষ এয়ার পিউরিফায়ার 1 এ ফ্যানের গতি 4 সেট করুন।,Dining Room Air Purifier Waq Chalukurun,1.0,0.9074,0.0,9.26,base,2026-03-05T10:59:21.632056+00:00
elevenlabs,bengali,bengali_11.mp3,শয়নকক্ষ এয়ার পিউরিফায়ার 1 এ নাইট মোড সেট করুন।,Dining Room Air Purifier 1-Eating L-O-D Ujjolota 100-Tour Set Kuruun.,1.0,1.0,0.0,0.0,base,2026-03-05T10:59:23.276424+00:00
elevenlabs,bengali,bengali_12.mp3,শয়নকক্ষ এয়ার পিউরিফায়ার 1 এ 60 মিনিটের সুইচ অফ টাইমার সেট করুন।,Dining Room Air Purifier 1-E heater power Chalukorun,1.0,0.9091,0.0,9.09,base,2026-03-05T10:59:24.628398+00:00
elevenlabs,bengali,bengali_13.mp3,শয়নকক্ষ এয়ার পিউরিফায়ার 1 এ রিং এলইডি উজ্জ্বলতা 40 সেট করুন।,Dining Room Air Purifier 1-Night Mode Set Coroon,1.0,0.9048,0.0,9.52,base,2026-03-05T10:59:26.026797+00:00
elevenlabs,bengali,bengali_14.mp3,শয়নকক্ষ এয়ার পিউরিফায়ার 1 এ টার্বো মোড চালু করুন এবং বাজার নিয়ন্ত্রণ বন্ধ করুন।,"Dining Room Air Purifier 1, a 180-minuited switch of timer set korun.",1.0,0.9036,0.0,9.64,base,2026-03-05T10:59:27.684241+00:00
elevenlabs,bengali,bengali_15.mp3,শয়নকক্ষ এয়ার পিউরিফায়ার 1 এ 720 মিনিটের সুইচ অফ টাইমার সেট করুন।,دائنگ رم ایر پیریفیر 1 اے باجر نیونٹون چالوکورون,1.0,0.8806,0.0,11.94,base,2026-03-05T10:59:29.502275+00:00
elevenlabs,bengali,bengali_16.mp3,ডাইনিং রুমে এয়ার পিউরিফায়ার চালু করুন।,Dining Room Air Purifier 1A Phanel Gothi 3Shit Kuruun,1.0,1.0,0.0,0.0,base,2026-03-05T10:59:30.954544+00:00
elevenlabs,bengali,bengali_17.mp3,আমার শয়নকক্ষ এয়ার পিউরিফায়ার 1 এর অবস্থা কী?,Dining Room Air Purifier 1 Çalukorun,0.875,0.8936,12.5,10.64,base,2026-03-05T10:59:32.351257+00:00
